course_id,track,out_degree,level,betweenness,closeness
ENGL001,None,0,1,0.000000,0.000000
ENGL101,None,1,1,0.000000,0.000000
ENGL102,None,1,2,0.000426,0.014493
ENGL201,None,1,3,0.000426,0.019324
ENGL202,None,0,4,0.000000,0.021739
HUMA101,None,0,1,0.000000,0.000000
HUMA102,None,0,1,0.000000,0.000000
HUMA103,None,0,1,0.000000,0.000000
SSCI101,None,0,1,0.000000,0.000000
SSCI102,None,0,1,0.000000,0.000000
SSCI103,None,0,1,0.000000,0.000000
COMM401,None,0,1,0.000000,0.000000
NSCI102,None,0,1,0.000000,0.000000
PHYS101,None,2,2,0.000639,0.014493
ECEN101,None,1,3,0.000426,0.019324
MATH001,None,0,1,0.000000,0.000000
MATH111,None,4,1,0.000000,0.000000
MATH201,None,1,2,0.000213,0.014493
MATH112,None,2,2,0.000853,0.014493
MATH210,None,0,3,0.000000,0.019324
MATH211,None,1,2,0.005328,0.014493
MATH203,None,2,3,0.001279,0.019324
MATH301,None,2,4,0.001066,0.021739
CSCI101,None,0,1,0.000000,0.000000
CSCI102,None,4,1,0.000000,0.000000
CSCI205,None,0,2,0.000000,0.014493
CSCI207,None,7,2,0.006394,0.014493
CSCI217,None,0,2,0.000000,0.014493
CSCI221,None,0,3,0.000000,0.019324
CSCI304,None,13,3,0.020673,0.038647
CSCI311,None,2,2,0.000426,0.014493
CSCI313,None,0,3,0.000000,0.019324
CSCI315,None,0,4,0.000000,0.047431
CSCI322,None,0,4,0.000000,0.038647
CSCI404,None,0,4,0.000000,0.032938
CSCI415,None,0,4,0.000000,0.047431
CSCI417,None,6,4,0.004476,0.032938
CSCI419,None,0,4,0.000000,0.032938
CSCI463,None,0,4,0.000000,0.032938
CSCI490,None,0,1,0.000000,0.000000
CSCI495,None,1,1,0.000000,0.000000
CSCI496,None,0,2,0.000000,0.014493
CSCI451,General,6,4,0.001492,0.032938
CSCI452,General,8,4,0.002558,0.032938
CSCI455,General,0,5,0.000000,0.069013
CSCI456,General,2,5,0.000426,0.058696
CSCI457,General,0,6,0.000000,0.073068
CSCI458,General,0,5,0.000000,0.058696
CSCI461,General,0,4,0.000000,0.032938
CSCI462,General,0,5,0.000000,0.030691
CSCI464,General,0,3,0.000000,0.019324
CSCI465,General,0,3,0.000000,0.019324
CSCI467,General,0,5,0.000000,0.051040
CSCI471,General,0,4,0.000000,0.032938
CSCI472,General,0,4,0.000000,0.021739
CSCI475,General,0,3,0.000000,0.019324
CSCI479,General,0,1,0.000000,0.000000
CSCI451,Media_Informatics,6,4,0.001492,0.032938
CSCI452,Media_Informatics,8,4,0.002558,0.032938
CSCI455,Media_Informatics,0,5,0.000000,0.069013
CSCI456,Media_Informatics,2,5,0.000426,0.058696
CSCI457,Media_Informatics,0,6,0.000000,0.073068
CSCI458,Media_Informatics,0,5,0.000000,0.058696
CSCI459,Media_Informatics,0,1,0.000000,0.000000
CSCI461,Big_Data,0,4,0.000000,0.032938
CSCI467,Big_Data,0,5,0.000000,0.051040
CSCI464,Big_Data,0,3,0.000000,0.019324
CSCI465,Big_Data,0,3,0.000000,0.019324
CSCI462,Big_Data,0,5,0.000000,0.030691
CSCI469,Big_Data,0,1,0.000000,0.000000
