course_id,course_name,prerequisites,course_type,category,credits,track,is_compulsory
ENGL 100,Intensive English,,general,English language,0,None,FALSE
ENGL 101,English 101,,general,English language,3,None,FALSE
ENGL 102,English 102,ENGL 101,general,English language,3,None,FALSE
ENGL 201,Writing skills,ENGL 102,general,English language,3,None,FALSE
ENGL 202,Communication&Presentation Skills,ENGL 201,general,English language,3,None,FALSE
HUMA 101,"Introduction to logic , critical thinking",,general,Humanities,2,None,FALSE
HUMA 102,Introduction to ethics,,general,Humanities,1,None,FALSE
HUMA 103,Selected topics in humanities and Arts,,general,Humanities,3,None,FALSE
SSCI 101,Selected topics in Egyptian&Arab heritage,,general,Social Sciences,3,None,FALSE
SSCI 102,Selected topics in orld cultures&diversity,,general,Social Sciences,3,None,FALSE
SSCI 103,Selected topics in social sciences,,general,Social Sciences,3,None,FALSE
COMM 401,Internship& service learning,,general,Social Sciences,3,None,FALSE
NSCI 102,Selected topics in natural sciences,,general,Natural Sciences,3,None,FALSE
PHYS 101,Physics I,MATH 111,general,Physics,4,None,FALSE
ECEN 101,Electric Circuits,PHYS 101,general,Electrical&Computer Engineering,3,None,FALSE
MATH 001,Pre-Calculus Mathematics,,general,Mathematics,3,None,FALSE
MATH 111,Analytical Geometry&Calculus I,,general,Mathematics,4,None,FALSE
MATH 201,Introduction to probability&Statistics,MATH 111,general,Mathematics,3,None,FALSE
MATH 112,Calculus II,MATH 111,general,Mathematics,4,None,FALSE
MATH 210,Calculus III,MATH 112,general,Mathematics,3,None,FALSE
MATH 211,Discrete mathematics,MATH 111,general,Mathematics,3,None,FALSE
MATH 203,Differential equations,MATH 112,general,Mathematics,4,None,FALSE
MATH 301,Linear Algebra ,MATH 203,general,Mathematics,4,None,FALSE
CSCI 101,Computer & Information skills,,core,Computer Science,3,None,FALSE
CSCI 201,Introduction to Programming,,core,Computer Science,3,None,FALSE
CSCI 205,Introduction to computer systems,CSCI 201,core,Computer Science,3,None,FALSE
CSCI 207,Fundumentals of data structures&algo,CSCI 201,core,Computer Science,3,None,FALSE
CSCI 217,Advanced computer programming and concepts,CSCI 201,core,Computer Science,3,None,FALSE
CSCI 221,Logic Design,PHYS 101,core,Computer Science,3,None,FALSE
CSCI 221L,LogIc design lab,CSCI 221,core,Computer Science,0,None,FALSE
CSCI 304,Analysis and design algorithms,"""CSCI 207, MATH 211""",core,Computer Science,3,None,FALSE
CSCI 311,Computer architecture,CSCI 201,core,Computer Science,3,None,FALSE
CSCI 313,Software Engineering,CSCI 207,core,Computer Science,3,None,FALSE
CSCI 315,Operating systems,"""CSCI 311, CSCI 304""",core,Computer Science,3,None,FALSE
CSCI 322,Data analysis,"""MATH 201, MATH 203""",core,Computer Science,3,None,FALSE
CSCI 404,Database Systems ,CSCI 304,core,Computer Science,3,None,FALSE
