course_id,track,out_degree,level,betweenness,closeness
COMM401,None,0,1,0.000000,0.000000
CSCI101,None,0,1,0.000000,0.000000
CSCI102,None,2,1,0.000000,0.000000
CSCI112,None,1,2,0.006469,0.013699
CSCI205,None,0,2,0.000000,0.013699
CSCI207,None,5,3,0.012557,0.018265
CSCI208,None,7,4,0.012557,0.020548
CSCI217,None,2,4,0.002283,0.020548
CSCI221,None,1,2,0.000571,0.013699
CSCI304,None,2,4,0.001903,0.038052
CSCI305,None,2,5,0.001522,0.021918
CSCI311,None,2,3,0.000761,0.018265
CSCI313,None,0,5,0.000000,0.021918
CSCI315,None,0,4,0.000000,0.020548
CSCI322,None,4,3,0.001522,0.018265
CSCI404,None,0,5,0.000000,0.032877
CSCI415,None,0,6,0.000000,0.052687
CSCI417,None,2,5,0.001522,0.021918
CSCI419,None,3,5,0.003425,0.037935
CSCI451,General,2,5,0.007610,0.021918
CSCI452,General,8,6,0.003805,0.022831
CSCI452,Media_Informatics,8,6,0.003805,0.022831
CSCI455,General,0,7,0.000000,0.030511
CSCI455,Media_Informatics,0,7,0.000000,0.030511
CSCI456,General,0,7,0.000000,0.030511
CSCI456,Media_Informatics,0,7,0.000000,0.030511
CSCI457,General,0,7,0.000000,0.030511
CSCI457,Media_Informatics,0,7,0.000000,0.030511
CSCI458,General,0,7,0.000000,0.030511
CSCI458,Media_Informatics,0,7,0.000000,0.030511
CSCI459,Media_Informatics,0,1,0.000000,0.000000
CSCI461,Big_Data,0,5,0.000000,0.041952
CSCI461,General,0,5,0.000000,0.041952
CSCI462,Big_Data,0,6,0.000000,0.022831
CSCI462,General,0,6,0.000000,0.022831
CSCI463,None,0,4,0.000000,0.020548
CSCI464,Big_Data,0,5,0.000000,0.021918
CSCI464,General,0,5,0.000000,0.021918
CSCI465,Big_Data,0,6,0.000000,0.033562
CSCI465,General,0,6,0.000000,0.033562
CSCI467,Big_Data,0,6,0.000000,0.041748
CSCI467,General,0,6,0.000000,0.041748
CSCI469,Big_Data,0,1,0.000000,0.000000
CSCI471,General,0,5,0.000000,0.032877
CSCI472,General,0,3,0.000000,0.018265
CSCI475,General,0,4,0.000000,0.020548
CSCI479,General,0,1,0.000000,0.000000
CSCI490,None,0,1,0.000000,0.000000
CSCI495,None,1,1,0.000000,0.000000
CSCI496,None,0,2,0.000000,0.013699
ECEN101,None,1,2,0.000190,0.013699
ENGL001,None,0,1,0.000000,0.000000
ENGL101,None,1,1,0.000000,0.000000
ENGL102,None,1,2,0.000381,0.013699
ENGL201,None,1,3,0.000381,0.018265
ENGL202,None,0,4,0.000000,0.020548
HUMA101,None,0,1,0.000000,0.000000
HUMA102,None,0,1,0.000000,0.000000
HUMA103,None,0,1,0.000000,0.000000
MATH001,None,0,1,0.000000,0.000000
MATH100,None,0,1,0.000000,0.000000
MATH111,None,3,1,0.000000,0.000000
MATH112,None,3,2,0.000571,0.013699
MATH201,None,1,2,0.000951,0.013699
MATH203,None,0,3,0.000000,0.018265
MATH210,None,0,3,0.000000,0.018265
MATH211,None,2,2,0.001332,0.013699
MATH301,None,0,3,0.000000,0.018265
NSCI102,None,0,1,0.000000,0.000000
PHYS101,None,2,1,0.000000,0.000000
SSCI101,None,0,1,0.000000,0.000000
SSCI102,None,0,1,0.000000,0.000000
SSCI103,None,0,1,0.000000,0.000000
SSCI105,None,0,1,0.000000,0.000000
