course_id,course_name,prerequisites,course_type,category,credits,track,is_compulsory,CourseCode,fail_rate,average_grade,level
COMM401,Internship& service learning,,general,Social Sciences,3,,False,COMM,0.0,2.95432504480369,4
CSCI101,Computer & Information skills,,core,Computer Science,3,,True,CSCI,0.0333333333333333,3.49174242424242,1
CSCI102,Introduction to Programming,,core,Computer Science,3,,True,CSCI,0.172998643147896,2.39918588873812,1
CSCI112,Intermediate programming,CSCI102,core,Computer Science,3,,True,CSCI,,,1
CSCI205,Introduction to computer systems,CSCI102,core,Computer Science,3,,True,CSCI,0.0373760488176964,3.28321891685736,2
CSCI207,Fundumentals of data structures&algo,CSCI112,core,Computer Science,3,,True,CSCI,0.172910662824207,2.19481268011527,2
CSCI208,Analysis design of algorithms,CSCI207,core,Computer Science,3,,True,CSCI,,,2
CSCI217,Advanced computer programming and concepts,CSCI207,core,Computer Science,3,,True,CSCI,0.074810606060606,2.7591856060606,2
CSCI221,Logic Design,PHYS101,core,Computer Science,4,,True,CSCI,0.0739404869251578,2.93155996393147,2
CSCI304,Analysis and design algorithms,"""CSCI207, MATH211""",core,Computer Science,3,,True,CSCI,0.0495049504950495,2.68118811881188,3
CSCI305,Database Systems,CSCI217,core,Computer Science,3,,True,CSCI,,,3
CSCI311,Computer architecture,CSCI221,core,Computer Science,3,,True,CSCI,0.0127272727272727,3.126,3
CSCI313,Software Engineering,CSCI217,core,Computer Science,3,,True,CSCI,0.040764331210191,2.93210191082802,3
CSCI315,Operating systems,CSCI311,core,Computer Science,3,,True,CSCI,0.0391872278664731,2.81625544267053,3
CSCI322,Data analysis,MATH201,core,Computer Science,3,,True,CSCI,0.0334572490706319,2.88314745972738,3
CSCI404,Database Systems,CSCI304,core,Computer Science,3,,True,CSCI,0.0,3.53478260869565,4
CSCI415,Compiler Design,"""CSCI311, CSCI419""",core,Computer Science,3,,True,CSCI,0.0294117647058823,3.14264705882353,4
CSCI417,Machine Intelligence,CSCI208,core,Computer Science,3,,True,CSCI,0.051490514905149,2.73279132791327,4
CSCI419,Theory of computing,"""CSCI208 , MATH211""",core,Computer Science,3,,True,CSCI,0.0704041720990873,2.77913950456323,4
CSCI451,Digital image processing,CSCI208,elective,Computer Science,3,General,False,CSCI,0.0681818181818181,2.67556818181818,4
CSCI452,3D computer graphics and visualization,CSCI451,elective,Computer Science,3,"General, Media_Informatics",False,CSCI,0.0,3.44631578947368,4
CSCI455,Computer vision and systems,CSCI452,elective,Computer Science,3,"General, Media_Informatics",False,CSCI,0.1875,2.1875,4
CSCI456,Interactive multimedia systems,CSCI452,elective,Computer Science,3,"General, Media_Informatics",False,CSCI,0.0,2.95432504480369,4
