course_id,track,out_degree,level,betweenness,closeness
ENGL001,None,0,1,0.000000,0.000000
ENGL101,None,0,1,0.000000,0.000000
ENGL102,None,0,1,0.000000,0.000000
ENGL201,None,0,1,0.000000,0.000000
ENGL202,None,0,1,0.000000,0.000000
HUMA101,None,0,1,0.000000,0.000000
HUMA102,None,0,1,0.000000,0.000000
HUMA103,None,0,1,0.000000,0.000000
SSCI101,None,0,1,0.000000,0.000000
SSCI102,None,0,1,0.000000,0.000000
SSCI103,None,0,1,0.000000,0.000000
COMM401,None,0,1,0.000000,0.000000
NSCI102,None,0,1,0.000000,0.000000
PHYS101,None,1,1,0.000000,0.000000
ECEN101,None,1,1,0.000000,0.000000
MATH001,None,0,1,0.000000,0.000000
MATH111,None,0,1,0.000000,0.000000
MATH201,None,1,1,0.000000,0.000000
MATH112,None,0,1,0.000000,0.000000
MATH210,None,0,1,0.000000,0.000000
MATH211,None,1,1,0.000000,0.000000
MATH203,None,1,1,0.000000,0.000000
MATH301,None,2,1,0.000000,0.000000
CSCI101,None,0,1,0.000000,0.000000
CSCI102,None,0,1,0.000000,0.000000
CSCI205,None,0,1,0.000000,0.000000
CSCI207,None,7,1,0.000000,0.000000
CSCI217,None,0,1,0.000000,0.000000
CSCI221,None,0,2,0.000000,0.014493
CSCI304,None,13,2,0.010656,0.028986
CSCI311,None,2,1,0.000000,0.000000
CSCI313,None,0,2,0.000000,0.014493
CSCI315,None,0,3,0.000000,0.038647
CSCI322,None,0,2,0.000000,0.028986
CSCI404,None,0,3,0.000000,0.026087
CSCI415,None,0,3,0.000000,0.038647
CSCI417,None,6,3,0.002813,0.026087
CSCI419,None,0,3,0.000000,0.026087
CSCI463,None,0,3,0.000000,0.026087
CSCI490,None,0,1,0.000000,0.000000
CSCI495,None,1,1,0.000000,0.000000
CSCI496,None,0,2,0.000000,0.014493
CSCI451,General,6,3,0.000895,0.026087
CSCI452,General,8,3,0.001535,0.026087
CSCI455,General,0,4,0.000000,0.071349
CSCI456,General,2,4,0.000426,0.059179
CSCI457,General,0,5,0.000000,0.073370
CSCI458,General,0,4,0.000000,0.059179
CSCI461,General,0,3,0.000000,0.026087
CSCI462,General,0,4,0.000000,0.025765
CSCI464,General,0,2,0.000000,0.014493
CSCI465,General,0,2,0.000000,0.014493
CSCI467,General,0,4,0.000000,0.036232
CSCI471,General,0,3,0.000000,0.026087
CSCI472,General,0,2,0.000000,0.014493
CSCI475,General,0,2,0.000000,0.014493
CSCI479,General,0,1,0.000000,0.000000
CSCI451,Media_Informatics,6,3,0.000895,0.026087
CSCI452,Media_Informatics,8,3,0.001535,0.026087
CSCI455,Media_Informatics,0,4,0.000000,0.071349
CSCI456,Media_Informatics,2,4,0.000426,0.059179
CSCI457,Media_Informatics,0,5,0.000000,0.073370
CSCI458,Media_Informatics,0,4,0.000000,0.059179
CSCI459,Media_Informatics,0,1,0.000000,0.000000
CSCI461,Big_Data,0,3,0.000000,0.026087
CSCI467,Big_Data,0,4,0.000000,0.036232
CSCI464,Big_Data,0,2,0.000000,0.014493
CSCI465,Big_Data,0,2,0.000000,0.014493
CSCI462,Big_Data,0,4,0.000000,0.025765
CSCI469,Big_Data,0,1,0.000000,0.000000
